system:time_start,NDVI
18-Feb-00,0.5035335
5-Mar-00,0.5470763
21-Mar-00,0.5689713
6-Apr-00,0.6840215
22-Apr-00,0.7384584
8-May-00,0.7389307
24-May-00,0.7386525
9-Jun-00,0.7683093
25-Jun-00,0.7652165
11-Jul-00,0.7457299
27-Jul-00,0.7603516
12-Aug-00,0.681015
28-Aug-00,0.6689244
13-Sep-00,0.6722789
29-Sep-00,0.6356968
15-Oct-00,0.5851448
31-Oct-00,0.6166352
16-Nov-00,0.5942023
2-Dec-00,0.5148267
18-Dec-00,0.5194654
1-Jan-01,0.484335
17-Jan-01,0.4661386
2-Feb-01,0.4740756
18-Feb-01,0.5008208
6-Mar-01,0.5057409
22-Mar-01,0.5286513
7-Apr-01,0.6717584
23-Apr-01,0.7320893
9-May-01,0.7485038
25-May-01,0.7442122
10-Jun-01,0.6208344
26-Jun-01,0.6018357
12-Jul-01,0.7900143
28-Jul-01,0.7779438
13-Aug-01,0.7789623
29-Aug-01,0.7800463
14-Sep-01,0.7586099
30-Sep-01,0.7096597
16-Oct-01,0.6333342
1-Nov-01,0.5891884
17-Nov-01,0.5700486
3-Dec-01,0.5604971
19-Dec-01,0.5703567
1-Jan-02,0.522171
17-Jan-02,0.508193
2-Feb-02,0.5154217
18-Feb-02,0.4989568
6-Mar-02,0.4761792
22-Mar-02,0.5507138
7-Apr-02,0.6245345
23-Apr-02,0.7375802
9-May-02,0.7588392
25-May-02,0.7778486
10-Jun-02,0.7696662
26-Jun-02,0.7831727
12-Jul-02,0.7719281
28-Jul-02,0.7984156
13-Aug-02,0.7825458
29-Aug-02,0.7503697
14-Sep-02,0.7351833
30-Sep-02,0.7479317
16-Oct-02,0.7171075
1-Nov-02,0.6395824
17-Nov-02,0.6206829
3-Dec-02,0.5539502
19-Dec-02,0.5458227
1-Jan-03,0.5171653
17-Jan-03,0.5183031
2-Feb-03,0.5033168
18-Feb-03,0.4905059
6-Mar-03,0.5301403
22-Mar-03,0.5635917
7-Apr-03,0.6796213
23-Apr-03,0.7543902
9-May-03,0.7988497
25-May-03,0.7915417
10-Jun-03,0.7865361
26-Jun-03,0.7081389
12-Jul-03,0.790081
28-Jul-03,0.7743766
13-Aug-03,0.8012668
29-Aug-03,0.766511
14-Sep-03,0.7412945
30-Sep-03,0.7369142
16-Oct-03,0.6749836
1-Nov-03,0.63324
17-Nov-03,0.5937517
3-Dec-03,0.5632001
19-Dec-03,0.5577753
1-Jan-04,0.5207759
17-Jan-04,0.5063873
2-Feb-04,0.3787309
18-Feb-04,0.4906224
5-Mar-04,0.5304804
21-Mar-04,0.5477183
6-Apr-04,0.659912
22-Apr-04,0.7624061
8-May-04,0.7629387
24-May-04,0.7737725
9-Jun-04,0.7367829
25-Jun-04,0.7303569
11-Jul-04,0.7538709
27-Jul-04,0.7647953
12-Aug-04,0.7627173
28-Aug-04,0.7822721
13-Sep-04,0.7461216
29-Sep-04,0.7213354
15-Oct-04,0.704638
31-Oct-04,0.6924295
16-Nov-04,0.634827
2-Dec-04,0.5670172
18-Dec-04,0.5594067
1-Jan-05,0.5505371
17-Jan-05,0.5292259
2-Feb-05,0.5219391
18-Feb-05,0.520724
6-Mar-05,0.5289529
22-Mar-05,0.5227384
7-Apr-05,0.6796316
23-Apr-05,0.729429
9-May-05,0.7792033
25-May-05,0.7641773
10-Jun-05,0.7991344
