system:time_start,precipitation
"Jan 1, 1998",0.272
"Feb 1, 1998",0.235
"Mar 1, 1998",0.184
"Apr 1, 1998",0.191
"May 1, 1998",0.114
"Jun 1, 1998",0.065
"Jul 1, 1998",0.309
"Aug 1, 1998",0.141
"Sep 1, 1998",0.024
"Oct 1, 1998",0.043
"Nov 1, 1998",0.174
"Dec 1, 1998",0.327
"Jan 1, 1999",0.39
"Feb 1, 1999",0.1
"Mar 1, 1999",0.188
"Apr 1, 1999",0.185
"May 1, 1999",0.142
"Jun 1, 1999",0.227
"Jul 1, 1999",0.129
"Aug 1, 1999",0.051
"Sep 1, 1999",0.094
"Oct 1, 1999",0.068
"Nov 1, 1999",0.089
"Dec 1, 1999",0.123
"Jan 1, 2000",0.146
"Feb 1, 2000",0.066
"Mar 1, 2000",0.178
"Apr 1, 2000",0.358
"May 1, 2000",0.065
"Jun 1, 2000",0.15
"Jul 1, 2000",0.045
"Aug 1, 2000",0.061
"Sep 1, 2000",0.065
"Oct 1, 2000",0.044
"Nov 1, 2000",0.353
"Dec 1, 2000",0.134
"Jan 1, 2001",0.265
"Feb 1, 2001",0.25
"Mar 1, 2001",0.245
"Apr 1, 2001",0.15
"May 1, 2001",0.134
"Jun 1, 2001",0.201
"Jul 1, 2001",0.104
"Aug 1, 2001",0.212
"Sep 1, 2001",0.182
"Oct 1, 2001",0.186
"Nov 1, 2001",0.185
"Dec 1, 2001",0.229
"Jan 1, 2002",0.212
"Feb 1, 2002",0.147
"Mar 1, 2002",0.269
"Apr 1, 2002",0.097
"May 1, 2002",0.162
"Jun 1, 2002",0.091
"Jul 1, 2002",0.183
"Aug 1, 2002",0.131
"Sep 1, 2002",0.32
"Oct 1, 2002",0.228
"Nov 1, 2002",0.176
"Dec 1, 2002",0.22
"Jan 1, 2003",0.11
"Feb 1, 2003",0.402
"Mar 1, 2003",0.142
"Apr 1, 2003",0.216
"May 1, 2003",0.266
"Jun 1, 2003",0.311
"Jul 1, 2003",0.164
"Aug 1, 2003",0.231
"Sep 1, 2003",0.139
"Oct 1, 2003",0.125
"Nov 1, 2003",0.216
"Dec 1, 2003",0.128
"Jan 1, 2004",0.14
"Feb 1, 2004",0.31
"Mar 1, 2004",0.148
"Apr 1, 2004",0.124
"May 1, 2004",0.196
"Jun 1, 2004",0.364
"Jul 1, 2004",0.139
"Aug 1, 2004",0.143
"Sep 1, 2004",0.101
"Oct 1, 2004",0.149
"Nov 1, 2004",0.319
"Dec 1, 2004",0.24
"Jan 1, 2005",0.128
"Feb 1, 2005",0.204
"Mar 1, 2005",0.125
"Apr 1, 2005",0.254
"May 1, 2005",0.124
"Jun 1, 2005",0.173
"Jul 1, 2005",0.278
"Aug 1, 2005",0.27
"Sep 1, 2005",0.14
"Oct 1, 2005",0.002
"Nov 1, 2005",0.11
"Dec 1, 2005",0.2
"Jan 1, 2006",0.242
"Feb 1, 2006",0.369
"Mar 1, 2006",0.173
"Apr 1, 2006",0.089
"May 1, 2006",0.132
"Jun 1, 2006",0.051
"Jul 1, 2006",0.088
"Aug 1, 2006",0.079
"Sep 1, 2006",0.2
