date,LST_Day_1km
"Mar 5, 2000",21.084
"Mar 13, 2000",20.066
"Mar 21, 2000",23.386
"Mar 29, 2000",21.082
"Apr 6, 2000",22.138
"Apr 14, 2000",24.315
"Apr 22, 2000",25.161
"Apr 30, 2000",25.833
"May 8, 2000",28.265
"May 16, 2000",28.331
"May 24, 2000",27.673
"Jun 1, 2000",29.02
"Jun 9, 2000",31.435
"Jun 17, 2000",27.843
"Jun 25, 2000",29.186
"Jul 3, 2000",31.673
"Jul 11, 2000",31.534
"Jul 19, 2000",31.4
"Jul 27, 2000",31.557
"Aug 4, 2000",29.532
"Aug 12, 2000",29.129
"Aug 20, 2000",33.199
"Aug 28, 2000",35.526
"Sep 5, 2000",29.778
"Sep 13, 2000",30.111
"Sep 21, 2000",26.161
"Sep 29, 2000",31.061
"Oct 7, 2000",26.687
"Oct 15, 2000",27.064
"Oct 23, 2000",27.859
"Oct 31, 2000",25.579
"Nov 8, 2000",12.515
"Nov 16, 2000",11.047
"Nov 24, 2000",13.953
"Dec 2, 2000",11.869
"Dec 10, 2000",0.348
"Dec 18, 2000",2.731
"Dec 26, 2000",-0.341
"Jan 1, 2001",5.616
"Jan 9, 2001",7.538
"Jan 17, 2001",5.923
"Jan 25, 2001",11.534
"Feb 2, 2001",13.465
"Feb 10, 2001",10.352
"Feb 18, 2001",12.501
"Feb 26, 2001",16.832
"Mar 6, 2001",18.406
"Mar 14, 2001",14.988
"Mar 22, 2001",20.196
"Mar 30, 2001",21.666
"Apr 7, 2001",28.373
"Apr 15, 2001",19.664
"Apr 23, 2001",25.606
"May 1, 2001",26.459
"May 9, 2001",28.749
"May 17, 2001",27.251
"May 25, 2001",25.177
"Jun 2, 2001",26.984
"Jun 10, 2001",27.347
"Jun 26, 2001",
"Jul 4, 2001",28.932
"Jul 12, 2001",28.849
"Jul 20, 2001",28.374
"Jul 28, 2001",27.722
"Aug 5, 2001",27.172
"Aug 13, 2001",27.56
"Aug 21, 2001",27.856
"Aug 29, 2001",23.887
"Sep 6, 2001",26.505
"Sep 14, 2001",26.126
"Sep 22, 2001",22.58
"Sep 30, 2001",24.18
"Oct 8, 2001",22.084
"Oct 16, 2001",20.136
"Oct 24, 2001",18.597
"Nov 1, 2001",21.905
"Nov 9, 2001",19.139
"Nov 17, 2001",17.621
"Nov 25, 2001",14.703
"Dec 3, 2001",17.569
"Dec 11, 2001",12.885
"Dec 19, 2001",11.168
"Dec 27, 2001",9.544
"Jan 1, 2002",5.616
"Jan 9, 2002",12.49
"Jan 17, 2002",14.807
"Jan 25, 2002",13.548
"Feb 2, 2002",12.015
"Feb 10, 2002",14.285
"Feb 18, 2002",16.01
"Feb 26, 2002",10.314
"Mar 6, 2002",18.829
"Mar 14, 2002",23.23
"Mar 22, 2002",
"Mar 30, 2002",21.881
"Apr 7, 2002",23.866
"Apr 15, 2002",27.134
"Apr 23, 2002",22.835
"May 1, 2002",27.018
"May 9, 2002",25.154
"May 17, 2002",23.716
"May 25, 2002",27.192
"Jun 2, 2002",29.954
"Jun 10, 2002",29.246
"Jun 18, 2002",29.901
"Jun 26, 2002",27.14
"Jul 4, 2002",29.862
"Jul 12, 2002",28.668
"Jul 20, 2002",25.98
"Jul 28, 2002",30.073
"Aug 5, 2002",28.413
"Aug 13, 2002",27.173
"Aug 21, 2002",28.443
"Aug 29, 2002",29.696
"Sep 6, 2002",30.409
"Sep 14, 2002",25.461
"Sep 22, 2002",26.466
"Sep 30, 2002",26.956
"Oct 8, 2002",20.753
"Oct 16, 2002",19.033
"Oct 24, 2002",15.461
"Nov 1, 2002",13.107
"Nov 9, 2002",15.835
"Nov 17, 2002",15.154
"Nov 25, 2002",10.597
"Dec 3, 2002",6.756
"Dec 11, 2002",14.116
"Dec 19, 2002",8.207
"Dec 27, 2002",11.256
"Jan 1, 2003",9.543
"Jan 9, 2003",9.994
"Jan 17, 2003",3.576
"Jan 25, 2003",4.905
"Feb 2, 2003",11.734
"Feb 10, 2003",14.08
"Feb 18, 2003",11.846
"Feb 26, 2003",9.883
"Mar 6, 2003",17.125
"Mar 14, 2003",24.715
"Mar 22, 2003",24.144
"Mar 30, 2003",21.528
"Apr 7, 2003",25.33
"Apr 15, 2003",25.656
"Apr 23, 2003",23.962
"May 1, 2003",23.359
"May 9, 2003",25.919
"May 17, 2003",24.135
"May 25, 2003",25.663
"Jun 2, 2003",24.72
"Jun 10, 2003",26.552
"Jun 18, 2003",27.756
"Jun 26, 2003",26.367
"Jul 4, 2003",26.347
